# Monster spawn data generated from DumpStaticGridOccupancyLog()
#
# Mega grid layout in world space (+Z upward):
# 7 8 9
# 4 5 6
# 1 2 3
#
# ID rule: mega_id = mega_z * 3 + mega_x + 1
# Internal mega coords are 0-based.
#
CONFIG|grid_min=(-600,-200)|grid_max_exclusive=(600,1000)|grid_size=(1200,1200)|mega_grid_size=(400,400)|center_spawn_size=(200,200)|allow_shared_non_boss_cells=0|rng_seed=20260416
MEGA|id=1|mega=(0,0)|world_min=(-600,-200)|world_max_exclusive=(-200,200)|spawn_min=(-500,-100)|spawn_max_exclusive=(-300,100)|center=(-400,0)|available_zero_cells=18484|requested_non_boss=0|requested_boss=0
MEGA|id=2|mega=(1,0)|world_min=(-200,-200)|world_max_exclusive=(200,200)|spawn_min=(-100,-100)|spawn_max_exclusive=(100,100)|center=(0,0)|available_zero_cells=18484|requested_non_boss=100|requested_boss=0
MEGA|id=3|mega=(2,0)|world_min=(200,-200)|world_max_exclusive=(600,200)|spawn_min=(300,-100)|spawn_max_exclusive=(500,100)|center=(400,0)|available_zero_cells=19511|requested_non_boss=105|requested_boss=0
MEGA|id=4|mega=(0,1)|world_min=(-600,200)|world_max_exclusive=(-200,600)|spawn_min=(-500,300)|spawn_max_exclusive=(-300,500)|center=(-400,400)|available_zero_cells=38616|requested_non_boss=0|requested_boss=0
MEGA|id=5|mega=(1,1)|world_min=(-200,200)|world_max_exclusive=(200,600)|spawn_min=(-100,300)|spawn_max_exclusive=(100,500)|center=(0,400)|available_zero_cells=40000|requested_non_boss=0|requested_boss=1
MEGA|id=6|mega=(2,1)|world_min=(200,200)|world_max_exclusive=(600,600)|spawn_min=(300,300)|spawn_max_exclusive=(500,500)|center=(400,400)|available_zero_cells=23161|requested_non_boss=61|requested_boss=0
MEGA|id=7|mega=(0,2)|world_min=(-600,600)|world_max_exclusive=(-200,1000)|spawn_min=(-500,700)|spawn_max_exclusive=(-300,900)|center=(-400,800)|available_zero_cells=19513|requested_non_boss=0|requested_boss=0
MEGA|id=8|mega=(1,2)|world_min=(-200,600)|world_max_exclusive=(200,1000)|spawn_min=(-100,700)|spawn_max_exclusive=(100,900)|center=(0,800)|available_zero_cells=23162|requested_non_boss=0|requested_boss=0
MEGA|id=9|mega=(2,2)|world_min=(200,600)|world_max_exclusive=(600,1000)|spawn_min=(300,700)|spawn_max_exclusive=(500,900)|center=(400,800)|available_zero_cells=18484|requested_non_boss=0|requested_boss=0

SPAWN|index=0|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-69,0,-3)|yaw_deg=229.944|rot=(0.000000,0.906516,0.000000,-0.422172)|rule=zero_cell_in_center_200x200
SPAWN|index=1|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(86,0,28)|yaw_deg=113.862|rot=(0.000000,0.838012,0.000000,0.545651)|rule=zero_cell_in_center_200x200
