# Monster spawn data generated from DumpStaticGridOccupancyLog()
#
# Mega grid layout in world space (+Z upward):
# 7 8 9
# 4 5 6
# 1 2 3
#
# ID rule: mega_id = mega_z * 3 + mega_x + 1
# Internal mega coords are 0-based.
#
CONFIG|grid_min=(-600,-200)|grid_max_exclusive=(600,1000)|grid_size=(1200,1200)|mega_grid_size=(400,400)|center_spawn_size=(200,200)|allow_shared_non_boss_cells=0|non_boss_ignore_occupancy_mega_ids=[5]|rng_seed=20260416
MEGA|id=1|mega=(0,0)|world_min=(-600,-200)|world_max_exclusive=(-200,200)|spawn_min=(-500,-100)|spawn_max_exclusive=(-300,100)|center=(-400,0)|available_zero_cells=18484|available_non_boss_spawn_cells=18484|non_boss_occupancy_ignored=0|requested_non_boss=100|requested_boss=0
MEGA|id=2|mega=(1,0)|world_min=(-200,-200)|world_max_exclusive=(200,200)|spawn_min=(-100,-100)|spawn_max_exclusive=(100,100)|center=(0,0)|available_zero_cells=18484|available_non_boss_spawn_cells=18484|non_boss_occupancy_ignored=0|requested_non_boss=100|requested_boss=0
MEGA|id=3|mega=(2,0)|world_min=(200,-200)|world_max_exclusive=(600,200)|spawn_min=(300,-100)|spawn_max_exclusive=(500,100)|center=(400,0)|available_zero_cells=16943|available_non_boss_spawn_cells=16943|non_boss_occupancy_ignored=0|requested_non_boss=105|requested_boss=0
MEGA|id=4|mega=(0,1)|world_min=(-600,200)|world_max_exclusive=(-200,600)|spawn_min=(-500,300)|spawn_max_exclusive=(-300,500)|center=(-400,400)|available_zero_cells=38616|available_non_boss_spawn_cells=38616|non_boss_occupancy_ignored=0|requested_non_boss=84|requested_boss=0
MEGA|id=5|mega=(1,1)|world_min=(-200,200)|world_max_exclusive=(200,600)|spawn_min=(-100,300)|spawn_max_exclusive=(100,500)|center=(0,400)|available_zero_cells=0|available_non_boss_spawn_cells=40000|non_boss_occupancy_ignored=1|requested_non_boss=200|requested_boss=1
MEGA|id=6|mega=(2,1)|world_min=(200,200)|world_max_exclusive=(600,600)|spawn_min=(300,300)|spawn_max_exclusive=(500,500)|center=(400,400)|available_zero_cells=24651|available_non_boss_spawn_cells=24651|non_boss_occupancy_ignored=0|requested_non_boss=61|requested_boss=0
MEGA|id=7|mega=(0,2)|world_min=(-600,600)|world_max_exclusive=(-200,1000)|spawn_min=(-500,700)|spawn_max_exclusive=(-300,900)|center=(-400,800)|available_zero_cells=16764|available_non_boss_spawn_cells=16764|non_boss_occupancy_ignored=0|requested_non_boss=105|requested_boss=0
MEGA|id=8|mega=(1,2)|world_min=(-200,600)|world_max_exclusive=(200,1000)|spawn_min=(-100,700)|spawn_max_exclusive=(100,900)|center=(0,800)|available_zero_cells=25265|available_non_boss_spawn_cells=25265|non_boss_occupancy_ignored=0|requested_non_boss=66|requested_boss=0
MEGA|id=9|mega=(2,2)|world_min=(200,600)|world_max_exclusive=(600,1000)|spawn_min=(300,700)|spawn_max_exclusive=(500,900)|center=(400,800)|available_zero_cells=18484|available_non_boss_spawn_cells=18484|non_boss_occupancy_ignored=0|requested_non_boss=105|requested_boss=0

SPAWN|index=0|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-451,0,30)|yaw_deg=94.181|rot=(0.000000,0.732429,0.000000,0.680843)|rule=zero_cell_in_center_200x200
SPAWN|index=1|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-371,0,-73)|yaw_deg=222.368|rot=(0.000000,0.932423,0.000000,-0.361368)|rule=zero_cell_in_center_200x200
SPAWN|index=2|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-393,0,-5)|yaw_deg=13.321|rot=(0.000000,0.115989,0.000000,0.993251)|rule=zero_cell_in_center_200x200
SPAWN|index=3|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-459,0,-66)|yaw_deg=220.204|rot=(0.000000,0.939082,0.000000,-0.343694)|rule=zero_cell_in_center_200x200
SPAWN|index=4|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-339,0,40)|yaw_deg=288.228|rot=(0.000000,0.586174,0.000000,-0.810185)|rule=zero_cell_in_center_200x200
SPAWN|index=5|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-431,0,6)|yaw_deg=108.831|rot=(0.000000,0.813256,0.000000,0.581906)|rule=zero_cell_in_center_200x200
SPAWN|index=6|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-386,0,7)|yaw_deg=30.417|rot=(0.000000,0.262330,0.000000,0.964978)|rule=zero_cell_in_center_200x200
SPAWN|index=7|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-483,0,91)|yaw_deg=186.831|rot=(0.000000,0.998224,0.000000,-0.059579)|rule=zero_cell_in_center_200x200
SPAWN|index=8|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-403,0,44)|yaw_deg=102.336|rot=(0.000000,0.778987,0.000000,0.627041)|rule=zero_cell_in_center_200x200
SPAWN|index=9|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-303,0,79)|yaw_deg=330.119|rot=(0.000000,0.257819,0.000000,-0.966193)|rule=zero_cell_in_center_200x200
SPAWN|index=10|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-414,0,74)|yaw_deg=213.622|rot=(0.000000,0.957263,0.000000,-0.289217)|rule=zero_cell_in_center_200x200
SPAWN|index=11|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-395,0,-37)|yaw_deg=242.464|rot=(0.000000,0.855074,0.000000,-0.518506)|rule=zero_cell_in_center_200x200
SPAWN|index=12|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-495,0,4)|yaw_deg=198.652|rot=(0.000000,0.986783,0.000000,-0.162048)|rule=zero_cell_in_center_200x200
SPAWN|index=13|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-461,0,-87)|yaw_deg=241.410|rot=(0.000000,0.859809,0.000000,-0.510615)|rule=zero_cell_in_center_200x200
SPAWN|index=14|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-370,0,-68)|yaw_deg=6.496|rot=(0.000000,0.056658,0.000000,0.998394)|rule=zero_cell_in_center_200x200
SPAWN|index=15|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-445,0,75)|yaw_deg=182.025|rot=(0.000000,0.999844,0.000000,-0.017674)|rule=zero_cell_in_center_200x200
SPAWN|index=16|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-332,0,-79)|yaw_deg=246.782|rot=(0.000000,0.834936,0.000000,-0.550347)|rule=zero_cell_in_center_200x200
SPAWN|index=17|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-371,0,-16)|yaw_deg=344.958|rot=(0.000000,0.130885,0.000000,-0.991398)|rule=zero_cell_in_center_200x200
